,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
29,286500,0.84,True,Centrum-West,52.38,4.9,Private room,2,1,1,5,162.0,3,365,True,1,3,4.89,True,81.0,486.0,0.09,0.21,0.18,4.99,0.6136986301369863,941.4657534246576
30,290701,1.0,True,Centrum-West,52.38,4.9,Private room,2,1,1,4,161.0,3,365,True,3,6,4.85,True,80.5,483.0,0.08,0.19,0.2,4.99,0.6794520547945205,931.8219178082192
31,291752,0.6,False,Oud-Oost,52.34,4.91,Private room,2,1,1,2,105.0,3,1125,True,1,0,4.86,False,52.5,315.0,0.06,0.17,0.16,4.99,0.7945205479452054,523.4931506849315
32,304143,1.0,False,Oud-Oost,52.38,4.92,Entire home/apt,2,1,1,6,95.0,3,30,True,0,0,4.55,False,47.5,285.0,0.04,0.1,0.17,4.99,0.0,475.0
33,306852,0.79,False,Centrum-Oost,52.34,4.9,Entire home/apt,4,2,2,7,200.0,4,21,True,0,2,4.61,False,50.0,800.0,0.07,0.24,0.2,4.99,0.08493150684931507,1000.0
34,307621,0.51,False,Centrum-Oost,52.34,4.895,Entire home/apt,2,1,1,7,125.0,3,21,True,0,0,4.5,False,62.5,375.0,0.08,0.2,0.18,4.99,0.0,625.0
35,308028,0.55,False,Centrum-Oost,52.38,4.9,Private room,2,1,1,8,95.0,3,10,True,0,0,4.77,False,47.5,285.0,0.06,0.15,0.14,4.99,0.0,475.0
36,311124,0.38,False,Centrum-West,52.38,4.88,Entire home/apt,2,1,1,10,225.0,5,15,True,0,1,4.75,False,112.5,1125.0,0.06,0.13,0.17,4.99,0.8684931506849315,1127.7397260273972
37,327285,0.59,False,De Pijp - Rivierenbuurt,52.34,4.895,Private room,4,1,6,15,239.0,2,30,True,0,4,4.94,True,59.75,478.0,0.1,0.16,0.18,4.99,0.0,1196.2328767123288
38,343094,1.0,False,Oud-Oost,52.34,4.91,Private room,2,1,1,4,100.0,3,30,True,3,4,4.89,True,50.0,300.0,0.08,0.15,0.18,4.99,0.3561643835616438,516.1780821917808
39,367107,0.0,False,Centrum-Oost,52.38,4.902,Entire home/apt,2,1,1,11,182.0,5,30,True,5,0,5.0,False,91.0,910.0,0.06,0.19,0.2,4.99,0.07397260273972603,910.6164383561644
40,367491,1.0,False,De Baarsjes - Oud-West,52.38,4.88,Entire home/apt,2,1,1,9,174.0,3,19,True,0,0,4.91,False,87.0,522.0,0.08,0.17,0.21,4.99,0.0,847.2328767123288
41,379885,0.64,False,De Pijp - Rivierenbuurt,52.34,4.906,Private room,2,1,1,13,297.0,3,180,True,5,1,4.66,True,148.5,891.0,0.11,0.13,0.2,4.99,0.2219178082191781,1422.958904109589
42,396125,0.44,False,Centrum-West,52.38,4.887,Private room,2,1,1,1,70.0,3,14,True,1,0,4.45,False,35.0,210.0,0.06,0.09,0.15,2.99,0.0027397260273972603,350.0
43,402353,0.98,False,Watergraafsmeer,52.34,4.934,Private room,2,1,1,6,139.0,2,1125,True,2,4,4.85,True,69.5,278.0,0.06,0.13,0.19,4.99,0.6410958904109589,683.082191780822
44,414865,0.0,False,Zuid,52.34,4.848,Entire home/apt,2,1,1,5,110.0,4,30,True,2,1,4.88,False,55.0,440.0,0.07,0.17,0.18,4.99,0.038356164383561646,561.5616438356165
45,437757,1.0,True,De Pijp - Rivierenbuurt,52.34,4.906,Entire home/apt,2,1,1,5,145.0,3,7,True,0,1,4.63,False,72.5,435.0,0.07,0.16,0.18,4.99,0.005479452054794521,550.972602739726
46,438089,1.0,False,De Baarsjes - Oud-West,52.38,4.867,Private room,2,1,1,12,129.0,4,60,True,2,1,4.78,True,64.5,516.0,0.07,0.18,0.14,4.99,0.4383561643835616,645.0
47,440992,0.62,False,Zuid,52.34,4.848,Entire home/apt,4,2,2,9,200.0,3,60,True,2,3,4.87,False,50.0,600.0,0.07,0.29,0.25,4.99,0.13150684931506848,1000.0
48,441424,0.92,False,Oostelijk Havengebied - Indische Buurt,52.38,4.94,Entire home/apt,4,2,3,6,150.0,3,30,True,0,0,4.55,False,37.5,450.0,0.06,0.26,0.15,4.99,0.005479452054794521,751.4383561643835
49,446999,1.0,False,De Baarsjes - Oud-West,52.34,4.867,Private room,2,1,1,3,119.0,4,90,True,10,0,4.77,True,59.5,476.0,0.07,0.18,0.18,4.99,0.4438356164383562,595.0
50,450767,1.0,True,Centrum-Oost,52.38,4.902,Entire home/apt,4,2,3,10,284.0,3,1125,True,0,3,4.63,False,71.0,852.0,0.11,0.21,0.25,4.99,0.5506849315068493,1386.7808219178082
51,462341,0.89,False,Centrum-West,52.38,4.895,Entire home/apt,2,1,2,14,176.0,3,20,True,0,1,4.97,False,88.0,528.0,0.07,0.21,0.2,4.99,0.0273972602739726,879.3424657534247
52,505012,0.0,False,Centrum-Oost,52.38,4.887,Entire home/apt,4,2,5,7,299.0,3,30,True,1,0,4.72,False,74.75,897.0,0.14,0.27,0.35,4.99,0.4383561643835616,1495.0
53,505650,0.82,False,Zuid,52.34,4.875,Private room,3,1,3,6,140.0,3,21,True,0,2,4.96,False,46.66,420.0,0.05,0.19,0.19,4.99,0.6246575342465753,720.3424657534247
54,508433,1.0,False,Geuzenveld - Slotermeer,52.38,4.83,Entire home/apt,4,2,3,14,375.0,3,30,True,6,1,4.86,False,93.75,1125.0,0.13,0.18,0.24,4.99,0.01643835616438356,1664.7260273972602
55,515749,0.76,False,Centrum-Oost,52.34,4.895,Private room,4,1,1,12,165.0,3,365,True,4,5,4.85,False,41.25,495.0,0.07,0.15,0.21,4.99,0.7698630136986301,825.0
56,515921,0.11,False,Zuid,52.34,4.85,Entire home/apt,4,2,1,4,165.0,3,30,True,1,0,4.19,False,41.25,495.0,0.08,0.18,0.19,4.99,0.057534246575342465,797.1917808219179
57,517996,0.04,False,Centrum-West,52.38,4.887,Entire home/apt,2,1,1,14,410.0,3,1125,True,28,0,4.67,True,205.0,1230.0,0.08,0.26,0.13,10.99,0.40273972602739727,1872.3287671232877
58,522471,0.5,False,Bos en Lommer,52.38,4.85,Entire home/apt,4,2,5,8,180.0,8,25,True,0,0,4.96,False,45.0,1440.0,0.07,0.14,0.17,4.99,0.030136986301369864,900.0
59,556829,0.69,False,Buitenveldert - Zuidas,52.34,4.867,Entire home/apt,2,1,1,14,148.0,3,1125,True,5,1,4.68,False,74.0,444.0,0.07,0.12,0.2,4.99,0.4383561643835616,662.4794520547945
60,568446,0.47,False,Centrum-Oost,52.38,4.902,Entire home/apt,2,1,2,5,108.0,3,5,True,0,1,4.82,False,54.0,324.0,0.06,0.13,0.21,4.99,0.0,539.2465753424658
61,570753,0.35,False,Zuid,52.34,4.867,Private room,3,1,2,1,75.0,4,30,True,6,1,4.87,False,25.0,300.0,0.06,0.11,0.17,4.99,0.43561643835616437,375.0
62,575603,0.36,False,Centrum-Oost,52.38,4.895,Entire home/apt,4,2,4,6,245.0,5,35,True,0,0,4.82,False,61.25,1225.0,0.03,0.25,0.3,4.99,0.0136986301369863,1225.0
63,582028,1.0,False,Slotervaart,52.38,4.844,Entire home/apt,3,2,1,5,211.0,5,17,True,5,0,4.8,False,70.3,1055.0,0.08,0.15,0.24,4.99,0.1178082191780822,819.6027397260274
64,582382,0.58,False,Oud-Noord,52.4,4.914,Entire home/apt,5,3,3,2,170.0,4,14,True,0,0,4.78,False,34.0,680.0,0.09,0.15,0.2,4.99,0.0,850.0
65,588020,0.65,False,Centrum-Oost,52.38,4.914,Entire home/apt,6,3,6,9,316.0,3,90,True,2,3,4.49,True,52.66,948.0,0.04,0.18,0.24,4.99,0.6191780821917808,1799.86301369863
66,590236,0.64,False,De Baarsjes - Oud-West,52.38,4.855,Entire home/apt,2,1,1,3,120.0,4,8,True,0,1,4.85,False,60.0,480.0,0.06,0.17,0.19,4.99,0.4547945205479452,600.0
67,623123,0.8,False,De Baarsjes - Oud-West,52.38,4.867,Entire home/apt,4,2,2,10,450.0,4,14,True,0,0,4.32,True,112.5,1800.0,0.16,0.22,0.32,10.99,0.019178082191780823,2329.3150684931506
68,627213,0.67,False,Zuid,52.34,4.887,Entire home/apt,5,3,3,10,100.0,7,30,True,0,0,5.0,False,20.0,700.0,0.07,0.16,0.2,4.99,0.0,799.4109589041096
69,633585,0.96,False,De Pijp - Rivierenbuurt,52.34,4.89,Entire home/apt,2,1,1,5,125.0,4,61,True,0,0,4.83,False,62.5,500.0,0.05,0.12,0.15,4.99,0.4246575342465753,625.1095890410959
70,634170,1.0,True,Westerpark,52.38,4.867,Entire home/apt,4,2,4,3,109.0,14,1125,True,0,0,4.88,False,27.25,1526.0,0.07,0.12,0.16,4.99,0.06027397260273973,542.7397260273973
71,653459,1.0,False,Buitenveldert - Zuidas,52.3,4.86,Entire home/apt,4,2,5,9,240.0,6,28,True,0,0,4.94,False,60.0,1440.0,0.06,0.12,0.21,4.99,0.23013698630136986,1202.6575342465753
72,658063,0.91,False,De Baarsjes - Oud-West,52.38,4.875,Private room,4,1,3,2,146.0,3,1125,True,3,2,4.36,False,36.5,438.0,0.06,0.07,0.18,4.99,0.06027397260273973,757.054794520548
73,660856,0.83,False,Watergraafsmeer,52.34,4.934,Entire home/apt,4,2,6,15,275.0,7,33,True,1,0,4.82,False,68.75,1925.0,0.08,0.29,0.2,4.99,0.005479452054794521,1396.2328767123288
74,664697,0.0,False,Oud-Noord,52.38,4.902,Entire home/apt,2,1,1,8,87.0,30,180,True,4,0,4.33,False,43.5,2610.0,0.05,0.1,0.15,4.99,0.8273972602739726,435.0
75,667305,0.92,False,Noord-West,52.4,4.895,Entire home/apt,2,1,1,5,146.0,5,120,True,19,3,5.0,False,73.0,730.0,0.06,0.14,0.16,4.99,0.9342465753424658,728.4931506849315
76,679838,0.59,False,Centrum-Oost,52.38,4.906,Entire home/apt,2,1,1,14,395.0,3,10,True,0,0,4.94,False,197.5,1185.0,0.12,0.15,0.23,4.99,0.0,2195.4383561643835
77,685990,1.0,True,Geuzenveld - Slotermeer,52.38,4.836,Private room,2,1,2,7,71.0,4,25,True,4,5,4.3,True,35.5,284.0,0.05,0.06,0.15,2.99,0.8986301369863013,321.32876712328766
78,689623,0.73,False,Centrum-Oost,52.38,4.926,Entire home/apt,2,1,1,1,120.0,14,60,True,2,0,4.73,False,60.0,1680.0,0.08,0.19,0.19,4.99,0.10684931506849316,600.0
79,708528,0.69,False,De Pijp - Rivierenbuurt,52.34,4.895,Private room,2,1,1,7,139.0,3,10,True,1,3,4.87,False,69.5,417.0,0.07,0.15,0.17,4.99,0.03561643835616438,650.8219178082192
80,719623,0.08,False,Centrum-West,52.38,4.89,Entire home/apt,2,1,1,6,156.0,4,150,True,0,0,4.61,False,78.0,624.0,0.09,0.23,0.22,4.99,0.4246575342465753,780.0
81,728144,0.99,True,Centrum-Oost,52.38,4.895,Entire home/apt,4,2,4,9,214.0,3,1125,True,0,1,4.89,False,53.5,642.0,0.07,0.1,0.25,4.99,0.0,1079.1780821917807
82,729317,1.0,True,Centrum-Oost,52.38,4.895,Private room,2,1,1,10,116.0,3,14,True,0,2,4.68,True,58.0,348.0,0.05,0.13,0.17,4.99,0.0,557.9589041095891
83,730916,1.0,True,Westerpark,52.38,4.867,Private room,2,1,1,3,85.0,3,90,True,10,4,4.74,False,42.5,255.0,0.06,0.12,0.16,4.99,0.6410958904109589,425.4931506849315
84,741043,1.0,False,Westerpark,52.38,4.87,Entire home/apt,4,2,3,18,495.0,2,1125,True,0,0,4.33,True,123.75,990.0,0.12,0.25,0.23,10.99,0.547945205479452,2769.3698630136987
85,742160,0.61,False,Centrum-Oost,52.38,4.92,Entire home/apt,16,8,24,28,886.0,2,60,True,9,0,4.64,True,55.38,1772.0,0.15,0.16,0.27,10.99,0.7178082191780822,4344.520547945205
86,746067,0.56,False,Centrum-West,52.38,4.887,Entire home/apt,2,1,1,6,136.0,3,100,True,0,0,4.7,False,68.0,408.0,0.08,0.15,0.21,4.99,0.0,678.7671232876712
87,754020,0.57,False,De Pijp - Rivierenbuurt,52.34,4.91,Entire home/apt,4,2,2,7,199.0,5,90,True,0,2,4.86,False,49.75,995.0,0.09,0.21,0.2,4.99,0.1643835616438356,828.2876712328767
88,754613,0.41,True,Centrum-Oost,52.38,4.906,Entire home/apt,4,2,3,11,250.0,4,250,True,3,5,4.93,False,62.5,1000.0,0.1,0.19,0.19,4.99,0.2493150684931507,1355.4794520547946
89,758475,0.0,False,De Baarsjes - Oud-West,52.38,4.87,Entire home/apt,4,2,1,10,100.0,6,60,True,0,0,4.74,False,25.0,600.0,0.07,0.12,0.22,4.99,0.0,499.86301369863014
90,759060,0.55,False,Centrum-West,52.38,4.887,Entire home/apt,4,2,2,9,325.0,3,60,True,0,0,4.94,False,81.25,975.0,0.12,0.24,0.24,4.99,0.0,2197.958904109589
91,759402,0.0,False,Centrum-West,52.38,4.88,Entire home/apt,2,1,2,7,180.0,6,30,True,0,0,4.9,False,90.0,1080.0,0.06,0.15,0.17,4.99,0.0,900.0
92,775655,0.97,False,Centrum-Oost,52.38,4.9,Private room,2,1,1,5,135.0,3,31,True,0,1,4.61,True,67.5,405.0,0.07,0.16,0.13,4.99,0.6328767123287671,683.8356164383562
93,800723,0.0,False,De Baarsjes - Oud-West,52.38,4.86,Entire home/apt,4,2,2,5,150.0,4,14,True,0,0,4.83,False,37.5,600.0,0.07,0.17,0.17,4.99,0.005479452054794521,750.0
94,805330,0.0,False,De Pijp - Rivierenbuurt,52.34,4.895,Entire home/apt,6,3,2,13,249.0,4,21,True,0,1,4.93,False,41.5,996.0,0.12,0.16,0.17,4.99,0.030136986301369864,1275.13698630137
95,816940,0.59,False,Zuid,52.34,4.855,Entire home/apt,2,1,1,11,200.0,5,7,True,0,0,4.73,False,100.0,1000.0,0.1,0.23,0.18,4.99,0.021917808219178082,1000.0
96,818085,0.88,True,Centrum-West,52.38,4.89,Private room,2,1,1,3,167.0,2,28,True,0,6,4.83,False,83.5,334.0,0.07,0.2,0.19,4.99,0.2410958904109589,912.0958904109589
97,818881,0.62,False,Centrum-Oost,52.38,4.895,Entire home/apt,2,1,1,8,122.0,7,60,True,2,0,4.69,False,61.0,854.0,0.06,0.15,0.18,4.99,0.46301369863013697,698.2739726027397
98,834233,0.64,False,Centrum-Oost,52.38,4.902,Private room,2,1,2,1,125.0,3,28,True,0,4,4.88,False,62.5,375.0,0.07,0.16,0.18,4.99,0.3835616438356164,634.5616438356165
99,835627,0.42,False,Centrum-Oost,52.38,4.918,Entire home/apt,4,2,3,14,180.0,4,13,True,0,0,5.0,False,45.0,720.0,0.07,0.2,0.18,4.99,0.0,900.0
100,847093,0.46,False,De Baarsjes - Oud-West,52.38,4.86,Entire home/apt,4,2,5,8,150.0,4,1125,True,0,0,4.73,False,37.5,600.0,0.07,0.18,0.18,4.99,0.0136986301369863,803.082191780822
101,854328,1.0,True,De Baarsjes - Oud-West,52.38,4.875,Entire home/apt,4,2,3,11,250.0,7,180,True,4,3,4.82,False,62.5,1750.0,0.07,0.19,0.29,4.99,0.1232876712328767,1496.1780821917807
102,862411,0.0,False,Centrum-West,52.38,4.887,Entire home/apt,2,1,1,5,180.0,93,365,True,29,0,4.9,False,90.0,16740.0,0.08,0.17,0.18,4.99,0.9972602739726028,900.0
103,874340,1.0,False,Noord-West,52.44,4.887,Private room,2,1,2,5,88.0,3,60,True,3,0,4.57,True,44.0,264.0,0.07,0.1,0.17,4.99,0.736986301369863,433.1095890410959
104,874688,0.24,False,Oud-Oost,52.34,4.91,Entire home/apt,6,3,8,15,359.0,4,360,True,0,0,4.78,False,59.84,1436.0,0.06,0.17,0.23,4.99,0.7013698630136986,1768.150684931507
